epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.282,1.88401,3.28355,1.65344,0.43954,0.25151,0.21437,0.08333,2.29253,2.86963,1.87254,0.00032963,0.00032963,0.00032963
2,20.4201,1.80453,1.99251,1.54345,0.40185,0.3667,0.23325,0.09142,2.28674,5.93449,1.88772,0.0006564,0.0006564,0.0006564
3,29.5131,1.71143,1.8063,1.52383,0.40426,0.52437,0.44326,0.1759,2.0799,2.79347,1.94652,0.00097657,0.00097657,0.00097657
4,38.3803,1.67206,1.70779,1.49185,0.64896,0.44057,0.52618,0.23219,1.95928,2.11002,1.73083,0.0009703,0.0009703,0.0009703
5,47.2563,1.64215,1.64879,1.49307,0.40105,0.56318,0.42446,0.18812,1.91579,1.87842,1.70438,0.0009604,0.0009604,0.0009604
6,56.0291,1.61135,1.64238,1.47094,0.49696,0.46124,0.42828,0.1881,1.99307,2.03022,1.79737,0.0009505,0.0009505,0.0009505
7,64.8029,1.60843,1.61376,1.4723,0.46757,0.57084,0.56577,0.26648,1.79443,1.76693,1.66341,0.0009406,0.0009406,0.0009406
8,73.8553,1.55371,1.54409,1.43287,0.50475,0.63189,0.55434,0.23618,1.82529,1.72789,1.64562,0.0009307,0.0009307,0.0009307
9,82.6561,1.56402,1.52702,1.42656,0.4421,0.63728,0.55159,0.26814,1.69531,1.68308,1.59647,0.0009208,0.0009208,0.0009208
10,91.9223,1.52031,1.4963,1.4143,0.43821,0.57632,0.51437,0.22812,1.82288,1.7872,1.65703,0.0009109,0.0009109,0.0009109
11,101.137,1.5224,1.48062,1.41139,0.4165,0.48439,0.44226,0.20638,1.84914,1.91629,1.69069,0.000901,0.000901,0.000901
12,110.294,1.52563,1.48507,1.40753,0.50457,0.46825,0.44964,0.20733,1.94019,1.87501,1.71032,0.0008911,0.0008911,0.0008911
13,119.273,1.50047,1.43947,1.39642,0.58524,0.66209,0.64034,0.28976,1.75864,1.59551,1.59634,0.0008812,0.0008812,0.0008812
14,128.402,1.48395,1.43613,1.39045,0.57948,0.62514,0.66158,0.33731,1.61608,1.61979,1.51956,0.0008713,0.0008713,0.0008713
15,137.484,1.4863,1.42651,1.39315,0.58226,0.50593,0.57116,0.28013,1.7656,1.68761,1.60807,0.0008614,0.0008614,0.0008614
16,146.72,1.45647,1.42292,1.38212,0.50652,0.66111,0.57273,0.2656,1.73199,1.80096,1.64846,0.0008515,0.0008515,0.0008515
17,156.035,1.49028,1.40171,1.39195,0.49969,0.59924,0.58568,0.27362,1.83222,1.68554,1.63691,0.0008416,0.0008416,0.0008416
18,165.48,1.46033,1.396,1.37426,0.64258,0.50469,0.58039,0.29491,1.76853,1.81239,1.60263,0.0008317,0.0008317,0.0008317
19,174.559,1.43579,1.38047,1.36844,0.44053,0.62111,0.54416,0.25847,1.87681,1.74667,1.6851,0.0008218,0.0008218,0.0008218
20,183.644,1.47128,1.38754,1.3769,0.48884,0.60787,0.58811,0.28009,1.93728,1.79563,1.72017,0.0008119,0.0008119,0.0008119
21,193.097,1.44252,1.35117,1.36207,0.55903,0.57002,0.57859,0.28979,1.75658,1.65734,1.59246,0.000802,0.000802,0.000802
22,202.072,1.4483,1.3577,1.36613,0.65182,0.555,0.63687,0.30546,1.68914,1.56269,1.53771,0.0007921,0.0007921,0.0007921
23,210.854,1.42603,1.35875,1.35987,0.58207,0.58829,0.62112,0.30411,1.73602,1.57663,1.57513,0.0007822,0.0007822,0.0007822
24,219.813,1.42172,1.337,1.35574,0.57644,0.64637,0.66832,0.33541,1.6527,1.51207,1.53446,0.0007723,0.0007723,0.0007723
25,228.579,1.41999,1.30848,1.34802,0.62912,0.61666,0.64104,0.30756,1.65605,1.5032,1.54534,0.0007624,0.0007624,0.0007624
26,238.27,1.43947,1.32667,1.35898,0.53403,0.61712,0.60957,0.30024,1.68923,1.5577,1.56271,0.0007525,0.0007525,0.0007525
27,247.651,1.41709,1.29283,1.33483,0.53044,0.6717,0.64834,0.31925,1.67313,1.56768,1.53609,0.0007426,0.0007426,0.0007426
28,256.801,1.39778,1.27861,1.33821,0.66224,0.59425,0.66772,0.33622,1.6694,1.52413,1.56091,0.0007327,0.0007327,0.0007327
29,265.799,1.39034,1.28931,1.32986,0.68567,0.62343,0.69895,0.34788,1.62849,1.44601,1.55107,0.0007228,0.0007228,0.0007228
30,275.857,1.39562,1.30131,1.34791,0.62953,0.60057,0.65238,0.33034,1.6979,1.47062,1.56897,0.0007129,0.0007129,0.0007129
31,286.816,1.37385,1.25228,1.31851,0.71506,0.47941,0.58836,0.29306,1.76174,1.62701,1.62332,0.000703,0.000703,0.000703
32,297.32,1.39427,1.2687,1.3435,0.59984,0.64106,0.66831,0.34576,1.62849,1.46064,1.55521,0.0006931,0.0006931,0.0006931
33,307.78,1.39967,1.25453,1.32799,0.56112,0.67371,0.65181,0.32395,1.64853,1.43957,1.53202,0.0006832,0.0006832,0.0006832
34,318.094,1.37033,1.2357,1.30315,0.63671,0.51075,0.62445,0.311,1.75308,1.55916,1.58301,0.0006733,0.0006733,0.0006733
35,328.233,1.37454,1.26866,1.33035,0.56795,0.61151,0.64342,0.33476,1.66122,1.49414,1.53594,0.0006634,0.0006634,0.0006634
